Input.Video,Answer.1start,Answer.1end,Answer.1action,Answer.1justification,Answer.2start,Answer.2end,Answer.2action,Answer.2justification,Answer.3start,Answer.3end,Answer.3action,Answer.3justification,Answer.4start,Answer.4end,Answer.4action,Answer.4justification,Answer.5start,Answer.5end,Answer.5action,Answer.5justification,Answer.6start,Answer.6end,Answer.6action,Answer.6justification,Answer.7start,Answer.7end,Answer.7action,Answer.7justification,Answer.8start,Answer.8end,Answer.8action,Answer.8justification,Answer.9start,Answer.9end,Answer.9action,Answer.9justification,Answer.10start,Answer.10end,Answer.10action,Answer.10justification,Answer.11start,Answer.11end,Answer.11action,Answer.11justification,Answer.12start,Answer.12end,Answer.12action,Answer.12justification,Answer.13start,Answer.13end,Answer.13action,Answer.13justification,Answer.14start,Answer.14end,Answer.14action,Answer.14justification,Answer.15start,Answer.15end,Answer.15action,Answer.15justification
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06db23de-8789538f.mov,0,8,The car is driving with its windshield wipers on,because it is raining.,9,13,The car is slowing to a stop,due to stopped vehicles in front of it.,14,21,The car is accelerating,because the light turned green.,22,28,The car is merging into the left turn lane,so that it can make a left turn.,29,34,The car is slowing to a stop,due to the red turn arrow.,35,40,The car is stopped,because the left turn arrow is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01c6a5ce-7dba0d93.mov,0,3,The car is stopped.,The light controlling the intersection the car is stopped at is red.,3,9,The car is accelerating through the intersection.,The light at the intersection has changed to green,9,20,The car is moving forward down the road,There are no obstructions in the roadway ahead.,20,22,The car is slowing to a stop,The light controlling the intersection is yellow.,22,24,The car has pulled to the left extreme of the lane and stopped.,The car moved to the left extreme of the lane to allow more space for a vehicle travelling behind the car to pass on the right.,24,40,The car is stopped.,The car is at an intersection and the light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01d25bbc-670b6caa.mov,0,18,The car is driving forward,as the light is green.,19,22,The car is slowing,due to a speed bump.,23,26,The car is driving forward,as the road is free of traffic.,27,32,The car is slowing to a stop,because the light is red.,33,39,The car is stopped,due to the red light.,40,40,The car is accelerating,as the light turned green.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06e4a00e-346390c8.mov,0,3,The car is driving forward,since the road is clear,4,7,The car is stopping,because there is a stop sign and a pedestrian crossing,8,15,The car is turning right,because there is a dead end ahead,16,17,The car is driving forward,since the road is clear,18,22,The car is stopping,because there is a stop sign,23,40,The car is driving forward,because the road is clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/00091078-2bcd1ac9.mov,0,40,The car is stopped,because the light is red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/05266828-79a6ed22.mov,0,7,The car moves slowly forward,because traffic is going slowly.,8,12,The car accelerates,because it is turning onto the left lane.,13,16,The car continues to accelerate,because it is turning back into the right lane.,17,34,The car stops,because traffic has stopped.,35,40,The car begins accelerating,because traffic has started moving again.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/03370efc-c690f4d8.mov,0,4,The car is turning right,to enter another road.,5,5,The car is driving forward,because there is no nearby traffic.,6,8,The car is merging into the right lane,as it has no cars.,9,17,The car is driving forward,because the light is green.,18,20,The car is merging into the left lane,due to it being clear of traffic.,21,25,The car swerves to the left and slows,to avoid a car merging into its lane.,26,31,The car merges back into the left lane,so that it can avoid oncoming traffic.,32,40,The car drives forward,as the light is green.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01d25bbc-a9f903ba.mov,0,2,The car has slowed to a stop,for an unknown reason.,3,8,The car is stopped on the side of the road,for an unknown reason.,9,14,The car merges right,to get onto the road.,15,17,The car accelerates to a constant speed,because the road is clear.,18,22,The car slows to a stop,because the light is red.,23,40,The car is stopped,because the light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06e4a00e-9ed56776.mov,0,12,The car is stopped,for an unknown reason.,13,30,The car accelerates,to make a 3-point turn.,30,32,The car reverses slowly,to better park.,33,40,The car is stopped,because it is parked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/00091078-38ea90aa.mov,0,27,The car is not moving,because traffic is stopped at a red light.,27,35,The car accelerates and proceeds through the intersection,as the light has turned green and it is safe to do so.,35,40,The car is driving down the street,since traffic is moving freely.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/0339a42b-1e75ac9a.mov,0,3,The car reverses slowly,to move into a parking spot.,4,14,The car moves forward slowly,to better position the vehicle in the parking spot.,15,40,The car is stopped,because it is parked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01d373c7-45710346.mov,0,18,The car maintains a constant speed and lane,because traffic is moving smoothly.,19,22,The car slows to a stop,because the light is red.,23,40,The car is stopped,because the light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/05266828-a6ee9545.mov,0,12,The car is slowing and moving slightly left,because two cars are stopped in the midst of turning right and are partially blocking the lane.,12,21,The car is stopping,because the light is red.,21,40,The car is stationary,because the light is red and pedestrians are crossing at the crosswalk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06e4a00e-b0887752.mov,0,18,The car maintains a moderate constant speed,because the road is clear.,19,23,The car slows to a stop,because the light is red.,24,40,The car is stopped,because the light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06ea71d8-6f0a4db0.mov,0,5,The car is travelling down the road.,There are no obstructions ahead of the car.,5,7,The car is merging into the left lane.,The car is moving into the lane to transition to a parallel street.,7,11,The car is merging into the center lane of the parallel street.,The car has moved from the transition between streets to the parallel street.,11,14,The car is merging into the leftmost lane.,The car had to wait for another vehicle before it could merge into the leftmost lane.,17,19,The car is merging into a left turn lane.,The car is moving toward an intersection.,19,22,The car is moving forward down the turn lane.,The car is moving toward the intersection.,22,24,The car is slowing to a stop.,The light controlling the intersection has turned red.,24,40,The car is stopped.,The light controlling the intersection is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/0526fe78-ad2264aa.mov,0,17,The car inches forward,because the stopped cars are moving forward slowly.,18,20,The car begins to accelerate,because the light has turned green.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/00091078-59817bb0.mov,0,26,The car is stopped,because traffic is stopped.,27,33,The car moves forward slowly,because traffic has moved forward a little.,34,35,The car slows to a stop,because traffic is stopped.,36,40,The car is stopped,because traffic is stopped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01d7e66d-8d639849.mov,0,3,The car veers right,to make an exit.,4,18,The car maintains speed,because the road is clear.,18,20,The car slows,to prepare for a turn.,21,26,The car maintains the slower speed,to make a right turn.,27,40,The car veers left,to get into the far left turn lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/033dea13-5a8114fe.mov,0,20,The car is stopped,because the light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06ebf6cd-0c129f12.mov,0,16,The car is driving down the street,as there are no lights and traffic is minimal.,16,20,The car is moving slightly to the left,as two parked vehicles are partially blocking the lane ahead.,20,24,The car is stopping,"because the light is red, and another vehicle is merging into the lane ahead.",24,40,The car is stopped,because the light is red and pedestrians are crossing at the crosswalk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/00091078-7cff8ea6.mov,0,36,The car is stopped,because the light is red.,37,40,The car begins to creep forward,because the light is green but there is traffic in the intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/052fd7cc-b5dee1de.mov,0,4,The car is stopped,because the light is red.,5,12,The car accelerates,to turn left.,13,21,The car maintains a constant speed,because the road is clear.,22,25,The car slows to a stop,because the light is red.,26,40,The car is stopped,because the light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/0340d277-0531808b.mov,0,17,The car maintains a slow speed,because the road has snow.,18,20,The car slows,because there is a stop sign.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01dc1bbe-8919b3d8.mov,0,6,The car is making a right hand turn.,The car is turning through an intersection.,6,19,The car is travelling down the road.,There are no obstructions ahead of the car.,19,23,The car is slowing to a stop.,The car is approaching an intersection with a yellow light.,23,40,The car is stopped.,The car has arrived at an intersection and the light has turned red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06ebf6cd-79235c8d.mov,0,9,The car accelerates slowly,to make a left turn.,10,18,The car maintains a constant speed,because the road is clear.,19,26,The car slows to a stop,because the light is red.,27,40,The car is stopped,because the light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/00091078-84635cf2.mov,0,20,The car is stopped,because the light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/0344b71d-0063c015.mov,0,21,The car is travelling down the road.,There are no obstructions ahead of the car.,21,22,The car is slowing to a stop.,The car has come to a stop sign.,22,24,The car is stopped.,The car is stopped at a stop sign.,24,40,The car is accelerating and travelling down the road.,The car has finished waiting at the stop sign.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/0531d2f7-1feee72c.mov,0,7,The car is driving forward,as the road is clear.,8,10,The car is slowing to a stop,because the light is green.,11,20,The car is stopped,due to the red light.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06ec79fd-3351771d.mov,0,2,The car slows to a stop,because the car in front stopped.,3,20,The car is stopped,for an unknown reason.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/0348a36b-deb80913.mov,0,20,The car maintains a constant speed and lane,because the road is clear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/00091078-875c1f73.mov,0,21,The car is stopped,because traffic in front of it is stopped.,22,36,The car is driving forward,as traffic in front of it moves.,37,40,The car is slowing down,as the car in front of it brakes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/053da4e3-48ec49ba.mov,0,10,The car is driving forward,because the road is free of traffic.,11,18,The car slows and veers left,to avoid a slow moving vehicle in its lane.,19,25,The car drives slowly,due to the car in front of it driving slowly.,26,27,The car drifts left and accelerates,so that it can get around the other vehicle.,28,30,The car stays to the right,as the road is clear.,31,40,The car drives forward,because the road is free of traffic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06ec79fd-7b557fdf.mov,0,9,The car maintains a constant speed and spacing with the vehicle ahead,because traffic is moving smoothly.,10,15,The car slows slightly,because cars ahead are making a turn.,16,19,The car maintains a slow speed,to make a right turn.,20,40,The car maintains a moderate speed,because traffic is moving smoothly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/00091078-878e079e.mov,0,9,The car is stopping,because a car ahead is trying to back into a parking spot near the curb,10,12,The car is passing on the left side,to get around the car trying to park,13,19,The car is speeding down the wrong side of the street,to get around stopped traffic,20,23,The car is braking hard and pulling to the right,to get back to the right side of the road and stop before hitting traffic,24,40,The car is moving forward very slowly,because traffic is very heavy ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/034ba984-01a430f3.mov,0,8,The car is driving forward,because there is no traffic.,9,12,The car is slowing to a stop,due to the stop sign.,13,17,The car is turning right,to enter another road.,18,37,The car is driving forward,due to a lack of traffic in front of it.,38,40,The car is slowing,because there is a speed bump.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/053dc1d6-29b58579.mov,0,18,The car is driving down the street,as the traffic lights are all green.,18,27,The car is slowing,because it is about to turn left.,27,40,The car is driving slowly down the street,"as there are snow banks on the curbs which partially block the lane, and pedestrians crossing the street ahead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06ec79fd-88116705.mov,0,40,The car maintains a constant speed and lane,because traffic is moving smoothly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/00091078-c1d32eea.mov,0,4,The car is moving slowly to the left,The car is moving to pass a bus,4,8,The car is accelerating through the intersection.,The car has passed the bus and is moving through the intersection,8,9,The car is slowing,The car is slowing to avoid an oncoming vehicle turning left through the intersection.,9,13,The car is travelling down the road.,There are no obstructions ahead of the car.,13,16,The car is moving to the left lane,The car is avoiding vehicles in the right lane.,16,20,The car is travelling down the road.,There are no obstructions ahead of the car.,20,24,The car is slowing to a stop.,The car is approaching an intersection with a red light.,24,40,The car is stopped,The car has reached an intersection with a red light.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/054575c4-3e39f3cf.mov,0,40,The car is travelling down the road.,There are no obstructions ahead of the car.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/034ba984-81e22d48.mov,0,7,The car is travelling down the road.,The car is at an intersection with a red light.,7,12,The car is accelerating through the intersection.,The light at the intersection has changed to green,12,35,The car is travelling down the road.,There are no obstructions in the roadway ahead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06ec79fd-9f4cd0ba.mov,0,4,The car is moving forward slowly.,Traffic ahead of the car is moving slowly,4,7,The car is slowing to a stop.,Traffic ahead of the car has come to a stop.,7,40,The car has stopped.,Traffic ahead of the car has stopped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/034ebec5-b2b76478.mov,0,11,The car maintains a constant speed and spacing with the vehicle ahead,because traffic is moving smoothly.,12,15,The car slows,while passing a stopped vehicle,16,18,The car slows,to make a left turn.,19,20,The car comes to a stop,because a taxi is reversing.,21,29,The car accelerates to the right,to go around the taxi blocking the entrance.,30,40,The car slows to a stop,to stop at the gas pump.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/00091078-cedbfea7.mov,0,6,the car is driving forward,to keep up with traffic,7,40,The car is stopping,because traffic ahead is busy and a car is waiting to turn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01dc1bbe-b5109eb3.mov,0,2,The car is stopping briefly,because there is a stop sign,3,20,The car is driving forward,since the traffic is clear,21,22,The car is slowing down,to go over a speed bump,23,40,The car is picking up speed and driving forward,because it is clear of the speed bump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06ec79fd-a832f627.mov,0,4,The car is driving forward,because there are no nearby cars.,5,10,The car is stopping,due to the red light.,11,14,The car is stopped,as the light is red.,15,20,The car is accelerating,after the light turned green.,21,35,The car is driving forward,as traffic flows normally.,36,38,The car merges into the lane to its right,because it is clear of traffic.,39,40,The car merges into the right lane,as there are no cars in that lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/0350600d-99bbb16e.mov,0,9,The car is driving forward,as the road is clear.,10,18,The car stays in the left lane,so that it can make a left hand turn.,19,24,The car is slowing,as the light turned red.,25,40,The car is stopped,due to the red light.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/054575c4-e461764c.mov,0,2,The car is stopped,because the light is red.,3,4,The car moves forward slightly,because the car in front moved forward.,5,19,The car is stopped,because the light is red.,20,28,The car accelerates,to make a left turn.,29,40,The car slows to a stop,because the light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/00091078-f32de4d2.mov,0,6,The car is travelling slowly down the road,Traffic ahead of the car is moving slowly,6,10,The car is making a right hand turn.,The car is turning at an intersection.,10,15,The car is travelling down the road.,There are no obstructions in the roadway ahead.,15,16,The car is slowing,The car is approaching a left hand curve in the road.,16,21,The car is negotiating a left hand curve,The car has come to a curve in the road and is turning 180 degrees to the left.,21,24,The car is stopped,The vehicle ahead of the car has come to a stop.,24,35,The car is moving slowly forward.,Traffic ahead of the car has moved allowing the car to move forward.,35,40,The car is stopped,Traffic ahead of the car is stopped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06ec79fd-ad0188f8.mov,0,2,The car is not moving,as it is parked,3,8,The car merges to the left,as to leave parking spot and get into a traffic lane.,9,10,The car slows acceleration,as to let a car moving in the lane pass.,10,12,The car continues to merge,as it is moving completely into the lane from the previous parking spot.,13,18,The car merges to the next lane to the left,as the lane is clear,19,20,The car stops,as there is a red light.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01df5158-81b61006.mov,0,5,The car is going down the road at a steady speed,because traffic is moving at a steady pace.,6,8,The car moves to the right,because a car in his lane has slowed down,9,20,The car moves down the road at a steady speed,because traffic is moving at a steady pace.,21,27,The car slows down,because it going to turn to the right into an alleyway,28,,The car moves at a slow but steady pace,because the alleyway is rather narrow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/05476b39-9d783f66.mov,0,7,The car is stopped in the city.,Because the car is parked.,7,10,The car slightly moves to the right before coming to a stop again.,Because the car began to move but had to stop as another car was blocking its way of going back on the road.,10,20,The car is stopped.,Because the car can't merge onto the road as there's snow in front of it and a car in the way to its right.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
